query_idx,query_label,ap__EVA-02,rank1__EVA-02,first_pos_rank__EVA-02,top1_idx__EVA-02,top1_label__EVA-02,top1_sim__EVA-02,ap__score_fusion,rank1__score_fusion,first_pos_rank__score_fusion,top1_idx__score_fusion,top1_label__score_fusion,top1_sim__score_fusion,ap__embedding_concat,rank1__embedding_concat,first_pos_rank__embedding_concat,top1_idx__embedding_concat,top1_label__embedding_concat,top1_sim__embedding_concat,oracle_ap,oracle_rank1,best_model,best_model_ap,score_fusion_delta_vs_best_model,score_fusion_delta_vs_oracle,score_fusion_beats_best_model,score_fusion_matches_best_model
30,Kamaikua,1.0,True,1,597,Kamaikua,0.9782507419586182,1.0,True,1,597,Kamaikua,0.9710699342176154,1.0,True,1,597,Kamaikua,0.9782511063680023,1.0,True,EVA-02,1.0,0.0,0.0,False,True
102,Tomas,1.0,True,1,103,Tomas,0.8943904042243958,1.0,True,1,103,Tomas,0.8635035033172082,1.0,True,1,103,Tomas,0.8943898578241932,1.0,True,EVA-02,1.0,0.0,0.0,False,True
117,Bororo,0.042545588382927116,False,52,127,Jaju,0.7004597187042236,0.042545588382927116,False,52,127,Jaju,0.6389290719576829,0.042545588382927116,False,52,127,Jaju,0.7004598795002657,0.042545588382927116,False,EVA-02,0.042545588382927116,0.0,0.0,False,True
181,Akaloi,1.0,True,1,183,Akaloi,0.9495642185211182,1.0,True,1,183,Akaloi,0.9335638198754261,1.0,True,1,183,Akaloi,0.9495639480941236,1.0,True,EVA-02,1.0,0.0,0.0,False,True
182,Akaloi,1.0,True,1,183,Akaloi,0.9851124882698059,1.0,True,1,183,Akaloi,0.9801507768749953,1.0,True,1,183,Akaloi,0.9851119762505467,1.0,True,EVA-02,1.0,0.0,0.0,False,True
212,Alira,0.15136998998255743,False,2,774,Kwang,0.6589465141296387,0.15136998998255743,False,2,774,Kwang,0.5952427490336507,0.15136998998255743,False,2,774,Kwang,0.658947188338499,0.15136998998255743,False,EVA-02,0.15136998998255743,0.0,0.0,False,True
213,Alira,0.23027990376254076,True,1,215,Alira,0.6598955392837524,0.23027990376254076,True,1,215,Alira,0.5962241763752755,0.23027990376254076,True,1,215,Alira,0.6598955909383595,0.23027990376254076,True,EVA-02,0.23027990376254076,0.0,0.0,False,True
251,Ariely,1.0,True,1,249,Ariely,0.9666849970817566,1.0,True,1,249,Ariely,0.9558594654907822,1.0,True,1,249,Ariely,0.9666851482696468,1.0,True,EVA-02,1.0,0.0,0.0,False,True
304,Bagua,0.9789130169097323,True,1,287,Bagua,0.8270791172981262,0.9789130169097323,True,1,287,Bagua,0.7817310470447767,0.9789130169097323,True,1,287,Bagua,0.8270796309832034,0.9789130169097323,True,EVA-02,0.9789130169097323,0.0,0.0,False,True
352,Benita,0.9997165131112685,True,1,326,Benita,0.9392631649971008,0.9997165131112685,True,1,326,Benita,0.9202759787805749,0.9997165131112685,True,1,326,Benita,0.9392628287551574,0.9997165131112685,True,EVA-02,0.9997165131112685,0.0,0.0,False,True
353,Benita,0.9994296513786237,True,1,326,Benita,0.9452093839645386,0.9994296513786237,True,1,326,Benita,0.9279346807827773,0.9994296513786237,True,1,326,Benita,0.9452095289231058,0.9994296513786237,True,EVA-02,0.9994296513786237,0.0,0.0,False,True
360,Benita,0.9993009011534297,True,1,326,Benita,0.9461061358451843,0.9993009011534297,True,1,326,Benita,0.9290924469908094,0.9993009011534297,True,1,326,Benita,0.9461069584028658,0.9993009011534297,True,EVA-02,0.9993009011534297,0.0,0.0,False,True
424,Estella,1.0,True,1,427,Estella,0.9713773727416992,1.0,True,1,427,Estella,0.9620160790594666,1.0,True,1,427,Estella,0.9713779765213909,1.0,True,EVA-02,1.0,0.0,0.0,False,True
500,Jaju,0.9716950914529777,True,1,499,Jaju,0.887569785118103,0.9716950914529777,True,1,499,Jaju,0.8550323751917581,0.9716950914529777,True,1,499,Jaju,0.8875700505925941,0.9716950914529777,True,EVA-02,0.9716950914529777,0.0,0.0,False,True
536,Jaju,0.9970039084626714,True,1,540,Jaju,0.9770283102989197,0.9970039084626714,True,1,540,Jaju,0.9694566019682584,0.9970039084626714,True,1,540,Jaju,0.9770280643564448,0.9970039084626714,True,EVA-02,0.9970039084626714,0.0,0.0,False,True
537,Jaju,0.9946725084145338,True,1,540,Jaju,0.9774366021156311,0.9946725084145338,True,1,540,Jaju,0.9699953052847985,0.9946725084145338,True,1,540,Jaju,0.9774377861428134,0.9946725084145338,True,EVA-02,0.9946725084145338,0.0,0.0,False,True
539,Jaju,0.9951668136900219,True,1,540,Jaju,0.9828925132751465,0.9951668136900219,True,1,540,Jaju,0.9772082348415366,0.9951668136900219,True,1,540,Jaju,0.982893323727125,0.9951668136900219,True,EVA-02,0.9951668136900219,0.0,0.0,False,True
541,Jaju,0.9964483310702633,True,1,540,Jaju,0.982515275478363,0.9964483310702633,True,1,540,Jaju,0.9767086517745583,0.9964483310702633,True,1,540,Jaju,0.9825153222340531,0.9964483310702633,True,EVA-02,0.9964483310702633,0.0,0.0,False,True
542,Jaju,0.9958638352545961,True,1,540,Jaju,0.9607424139976501,0.9958638352545961,True,1,540,Jaju,0.9480908855574588,0.9958638352545961,True,1,540,Jaju,0.9607426770549276,0.9958638352545961,True,EVA-02,0.9958638352545961,0.0,0.0,False,True
543,Jaju,0.9938271219723256,True,1,540,Jaju,0.9610196948051453,0.9938271219723256,True,1,540,Jaju,0.9484526623368844,0.9938271219723256,True,1,540,Jaju,0.9610198619170197,0.9938271219723256,True,EVA-02,0.9938271219723256,0.0,0.0,False,True
555,Jaju,0.9257940418066004,True,1,557,Jaju,0.7502670288085938,0.9257940418066004,True,1,557,Jaju,0.6933849939513186,0.9257940418066004,True,1,557,Jaju,0.7502669694663945,0.9257940418066004,True,EVA-02,0.9257940418066004,0.0,0.0,False,True
556,Jaju,0.9208317181608805,True,1,557,Jaju,0.7641246914863586,0.9208317181608805,True,1,557,Jaju,0.7089319681126899,0.9208317181608805,True,1,557,Jaju,0.7641249099589734,0.9208317181608805,True,EVA-02,0.9208317181608805,0.0,0.0,False,True
570,Kamaikua,1.0,True,1,572,Kamaikua,0.9687296748161316,1.0,True,1,572,Kamaikua,0.9585397474636053,1.0,True,1,572,Kamaikua,0.9687292143360169,1.0,True,EVA-02,1.0,0.0,0.0,False,True
571,Kamaikua,1.0,True,1,572,Kamaikua,0.9686107039451599,1.0,True,1,572,Kamaikua,0.958383690736325,1.0,True,1,572,Kamaikua,0.9686107462174983,1.0,True,EVA-02,1.0,0.0,0.0,False,True
699,Katniss,0.9976126544456109,True,1,698,Katniss,0.9728071093559265,0.9976126544456109,True,1,698,Katniss,0.9638958878400121,0.9976126544456109,True,1,698,Katniss,0.9728076019424491,0.9976126544456109,True,EVA-02,0.9976126544456109,0.0,0.0,False,True
700,Katniss,0.9976126544456109,True,1,695,Katniss,0.970449686050415,0.9976126544456109,True,1,695,Katniss,0.9607973438798587,0.9976126544456109,True,1,695,Katniss,0.9704492795451364,0.9976126544456109,True,EVA-02,0.9976126544456109,0.0,0.0,False,True
