query_idx,query_label,ap__EVA-02,rank1__EVA-02,first_pos_rank__EVA-02,top1_idx__EVA-02,top1_label__EVA-02,top1_sim__EVA-02,ap__MiewID,rank1__MiewID,first_pos_rank__MiewID,top1_idx__MiewID,top1_label__MiewID,top1_sim__MiewID,ap__ConvNeXt-V2,rank1__ConvNeXt-V2,first_pos_rank__ConvNeXt-V2,top1_idx__ConvNeXt-V2,top1_label__ConvNeXt-V2,top1_sim__ConvNeXt-V2,ap__score_fusion,rank1__score_fusion,first_pos_rank__score_fusion,top1_idx__score_fusion,top1_label__score_fusion,top1_sim__score_fusion,ap__embedding_concat,rank1__embedding_concat,first_pos_rank__embedding_concat,top1_idx__embedding_concat,top1_label__embedding_concat,top1_sim__embedding_concat,ap__adaptive_margin_top5,rank1__adaptive_margin_top5,first_pos_rank__adaptive_margin_top5,top1_idx__adaptive_margin_top5,top1_label__adaptive_margin_top5,top1_sim__adaptive_margin_top5,ap__rrf_k60,rank1__rrf_k60,first_pos_rank__rrf_k60,top1_idx__rrf_k60,top1_label__rrf_k60,top1_sim__rrf_k60,oracle_ap,oracle_rank1,best_model,best_model_ap,score_fusion_delta_vs_best_model,score_fusion_delta_vs_oracle,score_fusion_beats_best_model,score_fusion_matches_best_model
9,Ariely,0.032555396750504104,False,70,1338,Ousado,0.6909332871437073,0.016035568362701643,False,225,1458,Ousado,0.47129908204078674,0.02686432932406927,False,95,1502,Overa,0.7809759974479675,0.025511740902118035,False,91,11,Bagua,0.4613962348169932,0.02433938038034081,False,99,1338,Ousado,0.5062137615941279,0.021349337076162427,False,117,11,Bagua,0.4791839122772217,0.01903238611418967,False,145,11,Bagua,0.03606047108769417,0.032555396750504104,False,EVA-02,0.032555396750504104,-0.007043655848386069,-0.007043655848386069,False,False
11,Bagua,0.33886134191012235,True,1,309,Bagua,0.7446887493133545,0.34208812260536403,True,1,309,Bagua,0.5995513200759888,0.33881634111307973,True,1,309,Bagua,0.8077858090400696,0.33863107875846726,True,1,309,Bagua,0.6424264228959481,0.3387171107759343,True,1,309,Bagua,0.696786517262486,0.33876256174416625,True,1,309,Bagua,0.7025242447853088,0.3387182203389831,True,1,309,Bagua,0.04838709533214569,0.34208812260536403,True,MiewID,0.34208812260536403,-0.003457043846896768,-0.003457043846896768,False,False
13,Benita,0.09766851867576132,False,11,31,Katniss,0.7825212478637695,0.6198232323232322,True,1,383,Benita,0.41171467304229736,0.4659818786794204,True,1,324,Benita,0.6849657297134399,0.7548347485847486,True,1,383,Benita,0.45458438367792553,0.9068813131313131,True,1,383,Benita,0.5198156776078184,0.772837579087579,True,1,324,Benita,0.5078983306884766,0.8260690789473684,True,1,383,Benita,0.04022200405597687,0.6198232323232322,True,MiewID,0.6198232323232322,0.13501151626151642,0.13501151626151642,True,False
17,Bororo,0.465625,True,1,420,Bororo,0.6544232368469238,0.013459073239170985,False,153,1341,Ousado,0.5256186723709106,0.05071200729095466,False,19,787,Kwang,0.7090529203414917,0.10268619291506616,False,11,1341,Ousado,0.4485328825858509,0.08467631497043261,False,14,1341,Ousado,0.5230149566224008,0.06314026008492568,False,20,1341,Ousado,0.5110852718353271,0.10398263595378979,False,14,1341,Ousado,0.037907008081674576,0.465625,True,EVA-02,0.465625,-0.36293880708493387,-0.36293880708493387,False,False
21,Estella,1.0,True,1,427,Estella,0.7816516160964966,0.20666666666666667,False,3,1262,Medrosa,0.5078423619270325,0.45,False,2,23,Ipepo,0.7021234631538391,0.8333333333333333,True,1,427,Estella,0.5834490724584234,0.8333333333333333,True,1,427,Estella,0.6397753415889528,0.8333333333333333,True,1,427,Estella,0.6092383861541748,0.8333333333333333,True,1,427,Estella,0.0476270467042923,1.0,True,EVA-02,1.0,-0.16666666666666674,-0.16666666666666674,False,False
23,Ipepo,0.023809523809523808,False,42,1500,Overa,0.7207376956939697,0.07142857142857142,False,14,591,Kamaikua,0.5227503180503845,0.05263157894736842,False,19,21,Estella,0.7021234631538391,0.09090909090909091,False,11,21,Estella,0.5317349214692457,0.1,False,10,21,Estella,0.5857453618786059,0.125,False,8,21,Estella,0.583509624004364,0.125,False,8,1501,Overa,0.04465591162443161,0.07142857142857142,False,MiewID,0.07142857142857142,0.019480519480519487,0.019480519480519487,True,False
27,Jaju,0.07499538043844044,False,7,9,Ariely,0.6780096888542175,0.05003137206210265,False,23,1722,Solar,0.5255522131919861,0.047561105570972165,False,38,224,Apeiara,0.6754822134971619,0.060377664549103455,False,35,99,Ti,0.4828942140585173,0.06225616500537592,False,32,99,Ti,0.5481745069586538,0.05651848371767903,False,21,99,Ti,0.515487551689148,0.05262233064214093,False,42,99,Ti,0.03974428400397301,0.07499538043844044,False,EVA-02,0.07499538043844044,-0.014617715889336982,-0.014617715889336982,False,False
28,Jaju,0.5664542381904811,True,1,553,Jaju,0.7655550837516785,0.1727265064397093,False,4,1451,Ousado,0.5612977147102356,0.21098882558947107,False,8,1428,Ousado,0.6561068296432495,0.8646656835811248,True,1,553,Jaju,0.5397805919962455,0.8880660515511059,True,1,553,Jaju,0.6031333473504598,0.7828643283666461,True,1,553,Jaju,0.563125491142273,0.8237056094410928,True,1,553,Jaju,0.040718697011470795,0.5664542381904811,True,EVA-02,0.5664542381904811,0.2982114453906437,0.2982114453906437,True,False
31,Katniss,0.23017033208914633,False,3,121,Guaraci,0.8211394548416138,0.8849009900990099,True,1,705,Katniss,0.658790111541748,0.8801282051282051,True,1,704,Katniss,0.7676291465759277,0.8787593984962406,True,1,701,Katniss,0.6544483654317441,0.878921568627451,True,1,705,Katniss,0.7170687616708767,0.8793290043290043,True,1,703,Katniss,0.7072774171829224,0.8796296296296297,True,1,701,Katniss,0.04616113007068634,0.8849009900990099,True,MiewID,0.8849009900990099,-0.006141591602769281,-0.006141591602769281,False,False
36,Kwang,0.9611764705882353,True,1,778,Kwang,0.9656493663787842,0.9756592292089249,True,1,788,Kwang,0.7367845773696899,0.9938080495356038,True,1,777,Kwang,0.9356311559677124,1.0,True,1,778,Kwang,0.8143564249728947,1.0,True,1,778,Kwang,0.8390971108658591,1.0,True,1,788,Kwang,0.7760918140411377,1.0,True,1,778,Kwang,0.04738666117191315,0.9938080495356038,True,ConvNeXt-V2,0.9938080495356038,0.006191950464396245,0.006191950464396245,True,False
