query_idx,query_label,ap__MegaDescriptor-L,rank1__MegaDescriptor-L,first_pos_rank__MegaDescriptor-L,top1_idx__MegaDescriptor-L,top1_label__MegaDescriptor-L,top1_sim__MegaDescriptor-L,ap__score_fusion,rank1__score_fusion,first_pos_rank__score_fusion,top1_idx__score_fusion,top1_label__score_fusion,top1_sim__score_fusion,ap__embedding_concat,rank1__embedding_concat,first_pos_rank__embedding_concat,top1_idx__embedding_concat,top1_label__embedding_concat,top1_sim__embedding_concat,oracle_ap,oracle_rank1,best_model,best_model_ap,score_fusion_delta_vs_best_model,score_fusion_delta_vs_oracle,score_fusion_beats_best_model,score_fusion_matches_best_model
30,Kamaikua,0.08541806393453573,True,1,597,Kamaikua,0.8254061937332153,0.08541806393453573,True,1,597,Kamaikua,0.7739714250964495,0.08541806393453573,True,1,597,Kamaikua,0.8254060644161112,0.08541806393453573,True,MegaDescriptor-L,0.08541806393453573,0.0,0.0,False,True
102,Tomas,0.4369893393259425,True,1,103,Tomas,0.8412165641784668,0.4369893393259425,True,1,103,Tomas,0.7932486174705765,0.4369893393259425,True,1,103,Tomas,0.8412166970173466,0.4369893393259425,True,MegaDescriptor-L,0.4369893393259425,0.0,0.0,False,True
117,Bororo,0.03204488114195227,False,45,157,Solar,0.7916420102119446,0.03204488114195227,False,45,157,Solar,0.7335975107376803,0.03204488114195227,False,45,157,Solar,0.7916424365460893,0.03204488114195227,False,MegaDescriptor-L,0.03204488114195227,0.0,0.0,False,True
181,Akaloi,0.4573612915813847,True,1,183,Akaloi,0.7881813645362854,0.4573612915813847,True,1,183,Akaloi,0.7295205047070581,0.4573612915813847,True,1,183,Akaloi,0.788181107623135,0.4573612915813847,True,MegaDescriptor-L,0.4573612915813847,0.0,0.0,False,True
182,Akaloi,0.2178651617518696,True,1,183,Akaloi,0.9238694310188293,0.2178651617518696,True,1,183,Akaloi,0.8978852484689959,0.2178651617518696,True,1,183,Akaloi,0.9238694275300318,0.2178651617518696,True,MegaDescriptor-L,0.2178651617518696,0.0,0.0,False,True
212,Alira,0.011102226063612664,False,170,1492,Overa,0.675261378288269,0.011102226063612664,False,170,1492,Overa,0.6027220428142799,0.011102226063612664,False,170,1492,Overa,0.675261241389929,0.011102226063612664,False,MegaDescriptor-L,0.011102226063612664,0.0,0.0,False,True
213,Alira,0.011097375681660344,False,206,380,Benita,0.7437906265258789,0.011097375681660344,False,206,380,Benita,0.6782310319488537,0.011097375681660344,False,206,380,Benita,0.7437908553326151,0.011097375681660344,False,MegaDescriptor-L,0.011097375681660344,0.0,0.0,False,True
251,Ariely,0.2312128032804424,True,1,250,Ariely,0.7463916540145874,0.2312128032804424,True,1,250,Ariely,0.6811847279624322,0.2312128032804424,True,1,250,Ariely,0.7463910777774824,0.2312128032804424,True,MegaDescriptor-L,0.2312128032804424,0.0,0.0,False,True
304,Bagua,0.040227862271534465,False,25,131,Kwang,0.7846468091011047,0.040227862271534465,False,25,131,Kwang,0.7253681523913755,0.040227862271534465,False,25,131,Kwang,0.7846469930497186,0.040227862271534465,False,MegaDescriptor-L,0.040227862271534465,0.0,0.0,False,True
352,Benita,0.8863896701340263,True,1,338,Benita,0.9565218687057495,0.8863896701340263,True,1,338,Benita,0.941008251720425,0.8863896701340263,True,1,338,Benita,0.9565217055867069,0.8863896701340263,True,MegaDescriptor-L,0.8863896701340263,0.0,0.0,False,True
353,Benita,0.8883770537617898,True,1,338,Benita,0.9610734581947327,0.8883770537617898,True,1,338,Benita,0.9470997046529421,0.8883770537617898,True,1,338,Benita,0.9610737335142276,0.8883770537617898,True,MegaDescriptor-L,0.8883770537617898,0.0,0.0,False,True
360,Benita,0.8872556443611238,True,1,338,Benita,0.9657788872718811,0.8872556443611238,True,1,338,Benita,0.9534177031573999,0.8872556443611238,True,1,338,Benita,0.9657781395256825,0.8872556443611238,True,MegaDescriptor-L,0.8872556443611238,0.0,0.0,False,True
424,Estella,1.0,True,1,427,Estella,0.9897010326385498,1.0,True,1,427,Estella,0.9858628851168076,1.0,True,1,427,Estella,0.9897009428186859,1.0,True,MegaDescriptor-L,1.0,0.0,0.0,False,True
500,Jaju,0.5596541552761705,True,1,499,Jaju,0.915966808795929,0.5596541552761705,True,1,499,Jaju,0.8876005259666546,0.5596541552761705,True,1,499,Jaju,0.9159664906941062,0.5596541552761705,True,MegaDescriptor-L,0.5596541552761705,0.0,0.0,False,True
536,Jaju,0.17312701660821975,True,1,538,Jaju,0.9368253946304321,0.17312701660821975,True,1,538,Jaju,0.9148747275797442,0.17312701660821975,True,1,538,Jaju,0.9368252303981094,0.17312701660821975,True,MegaDescriptor-L,0.17312701660821975,0.0,0.0,False,True
537,Jaju,0.11388887937510263,True,1,538,Jaju,0.9318124055862427,0.11388887937510263,True,1,538,Jaju,0.9082821836776677,0.11388887937510263,True,1,538,Jaju,0.9318122083032374,0.11388887937510263,True,MegaDescriptor-L,0.11388887937510263,0.0,0.0,False,True
539,Jaju,0.1692604946125419,True,1,540,Jaju,0.9448330402374268,0.1692604946125419,True,1,540,Jaju,0.9254549751206392,0.1692604946125419,True,1,540,Jaju,0.9448328627499096,0.1692604946125419,True,MegaDescriptor-L,0.1692604946125419,0.0,0.0,False,True
541,Jaju,0.1425541423215471,True,1,540,Jaju,0.9419928789138794,0.1425541423215471,True,1,540,Jaju,0.921695399097785,0.1425541423215471,True,1,540,Jaju,0.9419926115435855,0.1425541423215471,True,MegaDescriptor-L,0.1425541423215471,0.0,0.0,False,True
542,Jaju,0.26551387158024664,True,1,535,Jaju,0.8649401068687439,0.26551387158024664,True,1,535,Jaju,0.8226189899836162,0.26551387158024664,True,1,535,Jaju,0.864939777743882,0.26551387158024664,True,MegaDescriptor-L,0.26551387158024664,0.0,0.0,False,True
543,Jaju,0.2314113708670491,True,1,535,Jaju,0.9014894366264343,0.2314113708670491,True,1,535,Jaju,0.8689128932103999,0.2314113708670491,True,1,535,Jaju,0.901489199279211,0.2314113708670491,True,MegaDescriptor-L,0.2314113708670491,0.0,0.0,False,True
555,Jaju,0.10717309958760617,False,9,1774,Ti,0.8173355460166931,0.10717309958760617,False,9,1774,Ti,0.7642225003734529,0.10717309958760617,False,9,1774,Ti,0.8173354985799552,0.10717309958760617,False,MegaDescriptor-L,0.10717309958760617,0.0,0.0,False,True
556,Jaju,0.11471421455543497,False,5,1774,Ti,0.8019922375679016,0.11471421455543497,False,5,1774,Ti,0.7458589716845928,0.11471421455543497,False,5,1774,Ti,0.8019925453409217,0.11471421455543497,False,MegaDescriptor-L,0.11471421455543497,0.0,0.0,False,True
570,Kamaikua,0.3295123519840625,True,1,573,Kamaikua,0.9457314610481262,0.3295123519840625,True,1,573,Kamaikua,0.926645825094194,0.3295123519840625,True,1,573,Kamaikua,0.9457315017077096,0.3295123519840625,True,MegaDescriptor-L,0.3295123519840625,0.0,0.0,False,True
571,Kamaikua,0.28583681774963715,True,1,573,Kamaikua,0.9652429223060608,0.28583681774963715,True,1,573,Kamaikua,0.9526970009185052,0.28583681774963715,True,1,573,Kamaikua,0.9652427363982252,0.28583681774963715,True,MegaDescriptor-L,0.28583681774963715,0.0,0.0,False,True
699,Katniss,0.37136396587358034,True,1,695,Katniss,0.9019445180892944,0.37136396587358034,True,1,695,Katniss,0.8694972932400304,0.37136396587358034,True,1,695,Katniss,0.9019443514541173,0.37136396587358034,True,MegaDescriptor-L,0.37136396587358034,0.0,0.0,False,True
700,Katniss,0.5517525193827074,True,1,696,Katniss,0.8697198033332825,0.5517525193827074,True,1,696,Katniss,0.82860099860454,0.5517525193827074,True,1,696,Katniss,0.869719922573175,0.5517525193827074,True,MegaDescriptor-L,0.5517525193827074,0.0,0.0,False,True
701,Katniss,0.581426691760828,True,1,696,Katniss,0.8513168692588806,0.581426691760828,True,1,696,Katniss,0.8056877978023438,0.581426691760828,True,1,696,Katniss,0.8513173084787015,0.581426691760828,True,MegaDescriptor-L,0.581426691760828,0.0,0.0,False,True
702,Katniss,0.5054135515265131,True,1,696,Katniss,0.8579190373420715,0.5054135515265131,True,1,696,Katniss,0.8138710987818699,0.5054135515265131,True,1,696,Katniss,0.8579188014617319,0.5054135515265131,True,MegaDescriptor-L,0.5054135515265131,0.0,0.0,False,True
703,Katniss,0.524635221165779,True,1,696,Katniss,0.8743613958358765,0.524635221165779,True,1,696,Katniss,0.8344309051653965,0.524635221165779,True,1,696,Katniss,0.8743614536401405,0.524635221165779,True,MegaDescriptor-L,0.524635221165779,0.0,0.0,False,True
704,Katniss,0.4440771946473995,True,1,696,Katniss,0.8499695658683777,0.4440771946473995,True,1,696,Katniss,0.8040229128717029,0.4440771946473995,True,1,696,Katniss,0.849969783877348,0.4440771946473995,True,MegaDescriptor-L,0.4440771946473995,0.0,0.0,False,True
